Цифровой код;Наименование краткое;Наименование полное;Код альфа-2;Код альфа-3;autokey
584;МАРШАЛЛОВЫ ОСТРОВА;Республика Маршалловы Острова;MH;MHL;classifierOksm_584
585;ПАЛАУ;Республика Палау;PW;PLW;classifierOksm_585
586;ПАКИСТАН;Исламская Республика Пакистан;PK;PAK;classifierOksm_586
591;ПАНАМА;Республика Панама;PA;PAN;classifierOksm_591
598;ПАПУА-НОВАЯ ГВИНЕЯ;Независимое Государство Папуа Новая Гвинея;PG;PNG;classifierOksm_598
600;ПАРАГВАЙ;Республика Парагвай;PY;PRY;classifierOksm_600
604;ПЕРУ;Республика Перу;PE;PER;classifierOksm_604
608;ФИЛИППИНЫ;Республика Филиппины;PH;PHL;classifierOksm_608
612;ПИТКЕРН;ПИТКЕРН;PN;PCN;classifierOksm_612
616;ПОЛЬША;Республика Польша;PL;POL;classifierOksm_616
620;ПОРТУГАЛИЯ;Португальская Республика;PT;PRT;classifierOksm_620
624;ГВИНЕЯ-БИСАУ;Республика Гвинея-Бисау;GW;GNB;classifierOksm_624
626;ТИМОР-ЛЕСТЕ;Демократическая Республика Тимор-Лесте;TL;TLS;classifierOksm_626
630;ПУЭРТО-РИКО;ПУЭРТО-РИКО;PR;PRI;classifierOksm_630
634;КАТАР;Государство Катар;QA;QAT;classifierOksm_634
638;РЕЮНЬОН;РЕЮНЬОН;RE;REU;classifierOksm_638
642;РУМЫНИЯ;РУМЫНИЯ;RO;ROU;classifierOksm_642
643;РОССИЯ;Российская Федерация;RU;RUS;classifierOksm_643
646;РУАНДА;Руандийская Республика;RW;RWA;classifierOksm_646
652;СЕН-БАРТЕЛЕМИ;СЕН-БАРТЕЛЕМИ;BL;BLM;classifierOksm_652
654;СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ;СВЯТАЯ ЕЛЕНА, ОСТРОВ ВОЗНЕСЕНИЯ, ТРИСТАН-ДА-КУНЬЯ;SH;SHN;classifierOksm_654
659;СЕНТ-КИТС И НЕВИС;СЕНТ-КИТС И НЕВИС;KN;KNA;classifierOksm_659
660;АНГИЛЬЯ;АНГИЛЬЯ;AI;AIA;classifierOksm_660
662;СЕНТ-ЛЮСИЯ;СЕНТ-ЛЮСИЯ;LC;LCA;classifierOksm_662
663;СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ);СЕН-МАРТЕН (ФРАНЦУЗСКАЯ ЧАСТЬ);MF;MAF;classifierOksm_663
666;СЕН-ПЬЕР И МИКЕЛОН;СЕН-ПЬЕР И МИКЕЛОН;PM;SPM;classifierOksm_666
670;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ;СЕНТ-ВИНСЕНТ И ГРЕНАДИНЫ;VC;VCT;classifierOksm_670
674;САН-МАРИНО;Республика Сан-Марино;SM;SMR;classifierOksm_674
678;САН-ТОМЕ И ПРИНСИПИ;Демократическая Республика Сан-Томе и Принсипи;ST;STP;classifierOksm_678
682;САУДОВСКАЯ АРАВИЯ;Королевство Саудовская Аравия;SA;SAU;classifierOksm_682
686;СЕНЕГАЛ;Республика Сенегал;SN;SEN;classifierOksm_686
688;СЕРБИЯ;Республика Сербия;RS;SRB;classifierOksm_688
690;СЕЙШЕЛЫ;Республика Сейшелы;SC;SYC;classifierOksm_690
694;СЬЕРРА-ЛЕОНЕ;Республика Сьерра-Леоне;SL;SLE;classifierOksm_694
702;СИНГАПУР;Республика Сингапур;SG;SGP;classifierOksm_702
703;СЛОВАКИЯ;Словацкая Республика;SK;SVK;classifierOksm_703
704;ВЬЕТНАМ;Социалистическая Республика Вьетнам;VN;VNM;classifierOksm_704
705;СЛОВЕНИЯ;Республика Словения;SI;SVN;classifierOksm_705
706;СОМАЛИ;Федеративная Республика Сомали;SO;SOM;classifierOksm_706
710;ЮЖНАЯ АФРИКА;Южно-Африканская Республика;ZA;ZAF;classifierOksm_710
716;ЗИМБАБВЕ;Республика Зимбабве;ZW;ZWE;classifierOksm_716
724;ИСПАНИЯ;Королевство Испания;ES;ESP;classifierOksm_724
728;ЮЖНЫЙ СУДАН;Республика Южный Судан;SS;SSD;classifierOksm_728
729;СУДАН;Республика Судан;SD;SDN;classifierOksm_729
732;ЗАПАДНАЯ САХАРА;Западная Сахара;EH;ESH;classifierOksm_732
740;СУРИНАМ;Республика Суринам;SR;SUR;classifierOksm_740
744;ШПИЦБЕРГЕН И ЯН МАЙЕН;Шпицберген и Ян Майен;SJ;SJM;classifierOksm_744
748;ЭСВАТИНИ;Королевство Эсватини;SZ;SWZ;classifierOksm_748
752;ШВЕЦИЯ;Королевство Швеция;SE;SWE;classifierOksm_752
756;ШВЕЙЦАРИЯ;Швейцарская Конфедерация;CH;CHE;classifierOksm_756
760;СИРИЙСКАЯ АРАБСКАЯ РЕСПУБЛИКА;Сирийская Арабская Республика;SY;SYR;classifierOksm_760
